,Spleen_NK_1,Spleen_NK_2,Spleen_NK_3,Spleen_NK_4,Spleen_NK_5,Spleen_ILC1_1,Spleen_ILC1_2,Spleen_ILC1_3
Gm14085,17,23,0,2,2,45,4,11
Gm14086,3,6,0,2,0,7,1,1
Gm14089,0,0,0,0,0,0,0,0
Gm14091,2,4,0,0,7,5,3,3
Gm14092,0,0,0,0,1,0,0,0
Gm14093,0,0,0,0,0,0,0,0
Gm14094,0,0,0,0,1,1,0,0
Gm14095,0,0,0,0,0,0,0,0
Gm14097,0,1,0,1,2,0,0,4
Gm14098,0,1,0,0,3,7,0,3
Gm14099,0,0,0,0,0,0,0,0
Gm14100,0,0,0,0,0,0,0,0
Gm14101,0,2,0,1,0,0,0,0
Gm14102,0,0,0,1,1,0,0,0
Gm14103,0,0,0,0,0,0,0,0
Gm14104,0,0,0,0,0,0,0,0
Gm14106,0,0,0,0,0,0,0,0
Gm14107,2,1,0,1,1,0,0,0
Gm14108,1,0,0,0,1,1,1,0
Gm14109,15,9,4,1,5,1,5,0
Gm14110,0,2,1,0,0,0,0,0
Gm14111,5,21,4,5,7,8,4,5
Gm14113,1,1,2,0,0,1,0,0
Gm14114,0,0,0,0,0,0,0,0
Gm14115,0,1,1,1,0,0,0,0
Gm14116,0,0,0,0,0,0,0,0
Gm14117,525,318,132,161,182,137,208,271
Gm14119,0,1,0,0,0,0,0,0
Gm14120,0,0,0,0,0,9,1,0
Gm14121,818,874,395,430,432,9,87,81
Gm14122,7,9,8,0,1,1,7,4
Gm14123,15,44,22,23,19,18,18,29
Gm14124,11,24,12,3,3,11,6,9
Gm14125,1804,1820,1270,1124,1552,339,153,241
Gm14126,0,0,0,0,0,0,0,0
Gm14127,11,16,3,4,6,17,5,6
Gm14128,0,0,0,0,0,0,1,0
Gm14129,0,0,0,1,0,0,0,0
Gm14130,3,2,1,0,0,1,9,3
Gm14131,16,15,12,7,6,4,4,5
Gm14132,2,3,0,1,1,4,1,2
Gm14133,0,1,0,4,0,0,0,0
Gm14135,0,1,2,0,0,0,0,0
Gm14137,37,44,7,27,38,43,25,33
Gm14138,4,3,1,3,2,1,2,3
Gm14139,1,3,0,3,0,12,2,6
Gm14140,23,19,9,13,11,13,4,10
Gm14141,0,0,0,0,0,0,0,0
Gm14142,0,0,0,0,0,0,0,0
Gm14143,0,0,0,0,0,0,0,0
Gm14144,0,0,0,0,0,0,0,0
Gm14145,0,0,0,0,0,0,0,0
Gm14146,0,0,0,0,0,0,0,0
Gm14147,0,0,0,0,0,0,0,0
Gm14148,8,3,2,5,2,4,5,5
Gm14149,1,0,0,0,3,0,0,0
Gm14150,53,68,43,33,43,111,80,70
Gm14151,0,0,0,0,2,0,0,0
Gm14152,0,0,0,0,0,0,0,0
Gm14153,0,0,0,0,0,0,0,0
Gm14154,10,17,2,3,7,8,16,8
Gm14155,0,0,0,0,0,0,0,0
Gm14156,0,0,0,0,0,0,0,0
Gm14158,0,0,0,0,0,0,0,0
Gm14159,0,0,0,0,0,0,0,0
Gm14161,0,1,0,0,0,1,0,0
Gm14162,5,6,0,0,1,1,0,0
Gm14163,0,0,0,1,0,0,0,1
Gm14164,0,0,0,0,0,0,0,0
Gm14165,55,90,36,40,42,36,24,29
Gm14167,13,26,8,7,9,13,6,11
Gm14168,88,94,48,48,78,67,67,60
Gm14169,0,0,0,0,0,0,0,0
Gm14170,0,0,0,0,1,0,0,0
Gm14172,0,0,0,0,1,0,0,0
Gm14173,2,13,5,1,3,39,27,30
Gm14174,0,0,0,0,0,0,0,0
Gm14175,0,0,0,0,0,0,0,0
Gm14176,144,119,50,45,39,58,70,58
Gm14180,0,0,0,0,0,0,0,0
Gm14182,0,0,0,0,0,0,0,0
Gm14186,0,0,0,0,0,0,0,0
Gm14188,0,0,0,0,0,0,0,0
Gm14190,0,0,0,0,0,0,0,0
Gm14193,0,0,0,0,0,0,0,0
Gm14197,0,1,0,0,2,0,0,0
Gm14198,1,0,0,4,0,39,26,41
Gm14199,0,1,0,0,0,1,0,0
Gm14200,25,23,4,9,2,16,10,11
Gm14201,0,0,0,0,0,0,0,0
Gm14202,0,0,1,1,2,0,0,0
Gm14204,0,3,0,0,0,0,0,0
Gm14205,0,0,0,0,0,0,0,0
Gm14206,0,0,0,0,0,0,2,0
Gm14207,0,2,0,0,0,0,1,2
Gm14208,0,0,0,0,0,0,0,0
Gm14209,0,0,0,0,0,1,0,0
Gm14210,0,1,0,0,1,0,2,0
Gm14211,1,0,0,0,0,0,0,0
Gm14212,0,2,0,2,4,0,0,0
Gm14213,0,1,0,0,0,0,0,0
Gm14214,0,1,0,0,0,0,0,0
Gm14215,0,0,0,0,0,0,0,0
Gm14216,0,0,0,0,0,0,0,0
Gm14218,0,1,0,0,0,0,0,0
Gm14219,0,0,0,0,0,0,0,0
Gm14220,0,0,0,0,0,0,0,0
Gm14221,4,4,0,0,0,0,1,3
Gm14222,0,0,0,0,0,0,0,0
Gm14223,0,0,0,0,0,0,0,0
Gm14224,0,0,0,0,0,0,0,0
Gm14225,0,1,0,1,2,0,0,0
Gm14226,1,0,0,0,0,0,0,0
Gm14227,23,19,10,9,6,8,6,12
Gm14228,0,0,0,0,2,0,0,0
Gm14229,0,1,0,0,0,0,0,0
Gm14230,1,3,0,3,0,13,8,18
Gm14231,0,3,0,0,1,0,0,0
Gm14232,0,0,0,0,1,0,0,0
Gm14233,0,0,0,0,0,0,0,0
Gm14234,0,0,0,0,0,0,0,0
Gm14235,0,0,0,0,0,0,0,0
Gm14236,2,0,0,0,0,0,0,0
Gm14237,0,1,1,0,0,0,0,0
Gm14238,1,0,0,1,0,0,0,0
Gm14239,4,5,2,2,2,2,1,1
Gm14240,0,2,0,1,1,0,0,0
Gm14241,0,0,0,0,0,0,0,0
Gm14242,0,0,0,0,0,0,0,0
Gm14243,0,1,0,0,1,0,0,0
Gm14244,0,2,0,0,1,0,0,0
Gm14245,3,1,0,0,1,1,2,0
Gm14246,0,0,0,0,1,0,0,0
Gm14247,0,0,0,1,0,0,0,0
Gm14248,0,1,0,0,0,0,0,0
Gm14249,0,0,0,0,0,0,0,0
Gm14250,0,0,0,0,0,0,0,0
Gm14251,3,10,1,2,4,3,1,0
Gm14252,7,28,13,16,20,20,25,25
Gm14253,1250,973,468,453,479,484,391,413
Gm14254,0,0,0,0,0,0,0,0
Gm14255,0,0,0,0,0,0,0,0
Gm14257,2,1,0,0,0,0,0,0
Gm14258,1,3,0,1,0,0,0,0
Gm14260,0,0,0,0,0,0,0,0
Gm14261,0,0,0,0,0,0,0,0
Gm14262,0,0,0,0,0,0,0,0
Gm14263,4,4,0,0,2,1,0,0
Gm14264,0,0,0,0,0,0,0,0
Gm14266,0,0,0,0,0,0,0,0
Gm14267,14,6,4,3,3,2,3,8
Gm14268,0,1,0,0,1,0,0,1
Gm14269,463,329,117,127,114,185,142,153
Gm14270,84,80,30,27,23,59,49,49
Gm14271,0,0,0,0,0,0,0,0
Gm14272,0,0,0,0,0,0,0,0
Gm14273,0,0,0,0,1,0,0,0
Gm14274,3,4,3,1,1,2,1,0
Gm14275,0,0,0,0,0,0,0,0
Gm14276,123,95,41,44,44,81,86,61
Gm14277,48,60,11,19,26,18,24,23
Gm14278,0,0,0,0,0,0,0,0
Gm14279,1,0,0,0,0,1,0,0
Gm14280,0,1,0,0,3,0,0,0
Gm14281,0,0,0,0,0,0,0,0
Gm14282,0,0,0,0,0,0,0,0
Gm14283,0,0,0,0,0,0,0,0
Gm14285,0,0,0,0,0,0,0,0
Gm14286,1,4,1,2,1,2,0,1
Gm14287,2,1,0,0,0,2,0,0
Gm14288,94,55,36,35,35,42,22,22
Gm14291,0,0,0,0,0,0,0,0
Gm14292,83,106,53,37,38,9,49,56
Gm14293,0,0,0,0,0,0,0,0
Gm14294,0,0,0,0,0,0,0,0
Gm14295,70,52,30,37,31,60,21,40
Gm14296,6,1,1,4,5,8,7,9
Gm14297,0,0,0,0,0,0,0,0
Gm14298,0,0,0,0,0,0,0,0
Gm14299,0,1,0,0,0,0,0,0
Gm14300,0,0,0,0,0,0,0,0
Gm14301,0,0,0,0,0,0,0,0
Gm14302,11,6,4,4,4,1,4,7
Gm14303,61,141,32,36,33,38,27,27
Gm14304,0,0,0,0,0,0,0,0
Gm14305,81,90,43,48,71,72,33,65
Gm14307,0,0,0,0,0,0,0,0
Gm14308,3,2,0,1,0,0,0,1
Gm14314,0,1,0,1,0,0,0,0
Gm14317,4,0,0,0,0,0,0,0
Gm14319,0,0,0,0,1,0,0,0
Gm14320,3,12,1,8,13,19,2,5
Gm14321,11,6,3,4,3,9,7,4
Gm14322,5,11,10,6,6,11,6,6
Gm14323,2,2,0,0,0,0,4,0
Gm14324,0,3,0,0,1,0,0,0
Gm14325,62,72,45,39,33,48,27,33
Gm14326,170,163,57,84,112,115,100,77
Gm14327,4,2,3,5,5,3,1,1
Gm14328,0,1,0,0,0,1,0,2
Gm14329,0,2,0,0,0,0,0,0
Gm14330,0,0,0,0,0,0,0,0
Gm14331,0,0,0,0,0,0,0,0
Gm14332,0,0,0,0,0,0,0,0
Gm14333,0,0,0,0,0,0,0,0
Gm14334,0,0,0,0,0,0,0,0
Gm14335,6,13,7,6,3,4,6,5
Gm14336,2,4,0,0,2,0,1,0
Gm14339,0,1,0,0,0,0,0,0
Gm14340,0,0,0,0,2,0,0,0
Gm14341,0,2,1,2,0,2,0,0
Gm14342,0,0,0,1,2,0,0,0
Gm14343,0,0,0,0,0,0,0,0
Gm14344,0,0,0,0,0,0,0,0
Gm14348,0,0,0,0,0,0,0,0
Gm14349,0,0,0,0,0,0,0,0
Gm14350,0,0,0,0,0,0,0,0
Gm14352,0,0,0,0,1,0,0,0
Gm14353,0,0,0,0,0,0,0,0
Gm14355,0,0,0,0,0,0,0,0
Gm14356,0,0,0,0,0,0,0,0
Gm14357,0,0,0,0,0,0,0,0
Gm14358,0,0,0,0,0,0,0,0
Gm14359,0,0,0,0,0,0,0,0
Gm14360,0,0,0,0,0,0,0,0
Gm14361,0,0,0,0,0,0,0,0
Gm14362,0,0,0,0,0,0,0,0
Gm14363,0,0,0,0,0,0,0,0
Gm14364,0,0,0,0,0,0,0,0
Gm14365,0,0,0,0,0,0,0,0
Gm14366,0,0,0,0,0,0,0,0
Gm14367,0,1,0,0,0,0,0,0
Gm14368,0,0,0,0,0,0,0,0
Gm14369,0,0,0,0,0,0,0,0
Gm14370,0,0,0,0,0,0,0,0
Gm14371,2,1,0,0,3,0,0,0
Gm14372,0,0,0,0,0,0,0,0
Gm14373,44,30,12,12,11,25,22,27
Gm14375,0,0,0,0,3,0,0,0
Gm14376,0,0,0,0,0,0,0,0
Gm14377,2,3,0,0,3,0,0,0
Gm14379,0,0,0,0,0,0,0,0
Gm14380,0,0,0,0,0,0,0,0
Gm14381,0,0,0,0,2,0,0,0
Gm14382,0,0,1,0,0,0,0,0
Gm14383,2,1,0,0,0,1,1,0
Gm14385,0,3,0,0,1,0,0,0
Gm14387,0,0,0,0,0,0,0,0
Gm14388,103,93,43,43,46,72,54,65
Gm14389,3,1,0,0,0,2,0,0
Gm14390,0,1,0,0,3,0,0,0
Gm14391,5,12,6,3,6,7,7,10
Gm14392,0,0,0,0,0,0,0,0
Gm14393,2,0,1,0,1,3,0,1
Gm14394,0,1,0,0,0,0,0,0
Gm14395,0,0,0,0,0,0,0,0
Gm14396,0,0,0,0,0,0,0,0
Gm14397,3,1,1,3,0,0,0,0
Gm14398,3,5,1,1,1,1,2,1
Gm14399,33,16,14,19,14,23,13,18
Gm14400,0,2,0,3,1,0,0,0
Gm14401,4,3,1,2,0,10,0,1
Gm14402,0,0,0,0,0,0,0,0
Gm14403,26,8,3,11,8,15,12,22
Gm14404,0,0,0,0,1,0,0,0
Gm14405,7,5,7,4,1,0,0,6
Gm14406,0,1,0,0,0,0,0,0
Gm14407,0,0,1,0,0,2,0,0
Gm14408,0,0,0,0,0,0,0,0
Gm14409,0,0,0,0,0,0,0,0
Gm14410,35,34,15,13,28,25,13,23
Gm14411,1,1,0,2,0,0,0,0
Gm14412,0,1,0,0,5,0,1,0
Gm14413,0,0,0,0,0,0,0,0
Gm14414,2,2,0,0,0,1,1,1
Gm14415,0,1,1,0,1,0,0,0
Gm14416,1,0,0,0,0,0,0,0
Gm14417,0,0,0,0,0,0,0,0
Gm14418,1,1,0,0,1,4,1,3
Gm14419,3,8,3,0,3,0,0,0
Gm14421,9,14,9,3,6,6,0,5
Gm14424,1,0,0,0,0,0,0,1
Gm14425,6,13,10,3,3,10,5,2
Gm14426,0,0,0,0,0,0,0,0
Gm14427,0,0,0,0,0,0,0,0
Gm14428,0,0,0,1,0,0,0,0
Gm14429,2,4,5,1,0,1,1,5
Gm14434,0,4,1,0,0,1,0,0
Gm14435,0,0,0,0,0,1,0,0
Gm14437,0,0,0,0,0,0,0,0
Gm14438,0,0,0,0,0,0,0,0
Gm14439,0,1,0,1,0,4,0,0
Gm14440,0,1,0,1,1,1,0,0
Gm14441,4,2,3,4,2,0,1,4
Gm14442,0,0,0,0,0,0,0,0
Gm14443,5,21,9,4,1,9,2,11
Gm14444,2,0,0,0,1,0,1,0
Gm14445,0,0,0,0,0,0,0,0
Gm14448,1,1,0,0,0,1,0,0
Gm14450,2,0,0,0,0,0,0,0
Gm14451,0,0,0,0,0,0,0,0
Gm14452,0,0,0,0,0,0,0,0
Gm14453,0,0,0,2,0,0,1,0
Gm14455,15,15,18,11,14,4,12,1
Gm14457,0,0,0,0,0,0,0,0
Gm14459,0,0,0,0,0,0,0,0
Gm14460,0,0,0,0,0,0,0,0
Gm14461,0,0,0,0,2,0,0,0
Gm14463,0,0,0,0,0,0,0,0
Gm14464,2,1,0,3,0,0,0,0
Gm14465,0,0,0,0,0,0,0,0
Gm14466,3,2,2,4,0,0,0,0
Gm14469,9,5,2,1,0,0,0,0
Gm14470,0,1,0,0,1,1,1,0
Gm14471,3,6,1,3,2,2,2,9
Gm14472,1,3,0,2,0,2,0,0
Gm14473,2,2,0,1,0,2,0,0
Gm14480,35,29,9,7,11,3,5,6
Gm14481,0,0,0,0,0,0,0,0
Gm14485,0,0,0,0,0,0,0,0
Gm14486,0,2,0,0,2,0,2,1
Gm14487,10,12,4,3,11,0,4,2
Gm14488,0,0,0,0,0,0,1,0
Gm14489,0,0,0,0,0,0,0,0
Gm14491,0,0,0,0,0,0,0,0
Gm14493,0,0,0,0,0,0,0,0
Gm14494,432,314,136,125,150,56,135,174
Gm14496,0,0,0,0,0,0,0,0
Gm14497,1,0,0,0,0,0,0,0
Gm14500,0,0,0,0,0,0,0,0
Gm14502,0,0,0,0,0,0,0,0
Gm14503,0,0,0,0,0,0,0,0
Gm14504,0,2,0,0,0,0,0,0
Gm14505,0,0,0,0,1,0,0,0
Gm14506,0,0,0,0,0,0,0,0
Gm14507,0,0,0,0,0,0,0,0
Gm14508,31,51,25,42,50,25,14,40
Gm14509,1,0,0,0,0,0,0,0
Gm14510,0,2,0,0,1,0,0,0
Gm14512,0,0,0,0,0,0,0,0
Gm14513,0,0,0,0,0,0,0,0
Gm14514,0,0,0,0,0,0,0,0
Gm14515,0,0,0,0,0,0,0,0
Gm14516,0,2,0,0,0,0,0,0
Gm14517,0,0,0,0,0,0,0,0
Gm14518,0,0,0,0,3,0,0,0
Gm14519,5,5,2,0,1,0,0,7
Gm14520,0,0,0,0,0,0,0,0
Gm14521,0,1,1,0,0,0,0,0
Gm14523,0,1,0,0,0,0,0,0
Gm14524,0,0,0,0,0,0,0,0
Gm14525,0,0,0,0,0,0,0,0
Gm14527,0,0,0,0,0,0,0,0
Gm14528,0,0,0,0,0,0,0,0
Gm14529,0,1,0,0,1,0,0,0
Gm14530,0,0,0,0,0,0,0,0
Gm14531,0,0,0,0,0,0,0,0
Gm14532,0,0,0,0,0,0,0,0
Gm14533,0,0,0,0,0,0,0,0
Gm14534,0,0,0,0,0,0,0,0
Gm14536,0,0,0,0,0,0,0,0
Gm14537,1,2,0,0,0,0,0,0
Gm14538,1,4,0,3,1,0,1,0
Gm14539,98,140,58,46,38,40,61,44
Gm14540,10,11,17,3,11,16,4,3
Gm14541,0,0,0,0,0,0,0,1
Gm14542,0,0,0,1,1,0,0,0
Gm14546,0,1,0,1,1,0,0,0
Gm14547,0,0,0,0,0,0,0,0
Gm14548,5,5,0,1,0,92,76,87
Gm14549,0,0,0,0,0,0,0,0
Gm14550,0,0,0,0,0,0,0,0
Gm14551,0,0,0,0,0,0,0,0
Gm14552,0,0,0,0,0,0,0,0
Gm14553,0,0,0,0,0,0,0,0
Gm14554,0,0,0,0,1,0,0,0
Gm14558,0,0,0,0,0,0,0,0
Gm14559,0,0,0,0,1,0,0,0
Gm14560,0,0,0,0,1,0,0,0
Gm14561,0,0,0,0,0,0,0,0
Gm14562,0,0,0,0,0,0,0,0
Gm14563,0,0,0,0,0,0,0,0
Gm14564,0,0,0,0,0,0,0,0
Gm14565,0,0,0,0,0,0,0,0
Gm14566,0,0,0,0,0,0,0,0
Gm14567,28,18,9,5,10,11,7,12
Gm14568,0,0,0,0,0,0,0,0
Gm14569,0,0,0,0,0,0,0,0
Gm14570,0,0,0,0,0,0,0,0
Gm14571,0,0,0,0,1,0,0,0
Gm14573,0,0,0,0,0,0,0,0
Gm14574,0,0,0,0,0,0,0,0
Gm14575,0,0,0,0,0,0,0,0
Gm14576,0,0,0,1,1,0,0,0
Gm14577,0,0,0,0,0,0,0,0
Gm14578,0,0,0,0,0,0,0,0
Gm14579,0,0,0,0,0,0,0,0
Gm14580,0,0,0,0,0,0,0,0
Gm14581,0,0,0,0,0,0,0,0
Gm14582,0,0,0,0,0,0,0,0
Gm14584,325,288,139,142,144,2,28,24
Gm14585,0,0,0,0,1,0,0,0
Gm14586,368,719,230,201,224,323,261,232
Gm14587,0,0,0,0,0,0,0,0
Gm14588,0,0,0,0,0,0,0,0
Gm14589,0,0,0,0,0,0,0,0
Gm14590,0,0,0,0,0,0,0,0
Gm14591,0,0,0,0,0,0,0,0
Gm14592,0,0,0,0,0,0,0,0
Gm14593,0,0,0,0,0,0,0,0
Gm14594,0,0,0,0,0,0,0,0
Gm14595,0,0,0,0,0,0,0,0
Gm14596,0,0,0,0,0,0,0,0
Gm14597,1,0,0,0,1,2,2,0
Gm14598,0,0,0,0,0,0,0,0
Gm14599,0,0,0,0,1,0,0,1
Gm14600,0,0,0,0,1,0,0,0
Gm14601,0,0,0,0,0,0,0,0
Gm14602,0,0,0,0,0,0,0,0
Gm14603,0,0,0,0,2,0,0,0
Gm14605,0,0,0,0,0,0,0,0
Gm14606,0,0,0,0,0,0,0,0
Gm14607,0,0,0,0,0,0,0,0
Gm14608,10,17,4,2,5,1,1,1
Gm14609,0,2,0,1,0,0,0,0
Gm14610,0,0,0,0,0,0,0,0
Gm14612,0,0,0,1,0,0,0,0
Gm14613,0,0,0,0,0,0,0,0
Gm14614,0,0,0,0,0,0,0,0
Gm14615,1,0,0,1,1,0,1,0
Gm14616,0,0,0,0,0,0,0,0
Gm14617,0,1,0,0,0,0,0,0
Gm14618,0,0,0,0,1,0,0,0
Gm14619,0,0,0,0,0,0,0,0
Gm14620,0,0,0,0,0,0,0,0
Gm14621,0,0,0,0,0,0,0,0
Gm14622,0,0,0,0,0,0,0,0
Gm14623,0,0,0,0,0,0,0,0
Gm14624,0,0,0,0,0,0,0,0
Gm14625,0,0,0,0,0,0,0,0
Gm14626,0,0,0,0,0,0,0,0
Gm14627,0,0,0,0,0,0,0,0
Gm14628,0,0,0,0,0,0,0,0
Gm14629,0,0,0,0,0,0,0,0
Gm14630,0,0,0,0,0,0,1,0
Gm14631,0,0,0,0,1,0,0,0
Gm14632,0,0,0,0,0,0,0,0
Gm14633,1,0,2,0,1,1,0,3
Gm14634,11,16,8,8,4,10,7,5
Gm14635,0,0,0,0,0,0,0,0
Gm14636,214,499,338,367,383,626,351,524
Gm14637,0,0,0,0,0,0,0,0
Gm14638,0,0,0,0,0,0,0,0
Gm14639,109,71,45,42,39,38,30,36
Gm14640,0,0,0,0,0,0,0,0
Gm14641,0,0,0,0,0,0,0,0
Gm14642,0,0,0,0,0,0,0,0
Gm14643,0,0,0,1,0,0,0,0
Gm14644,0,0,0,0,0,0,0,0
Gm14645,0,0,0,0,0,0,0,0
Gm14647,0,0,0,0,0,0,0,0
Gm14648,2,3,1,0,0,1,0,0
Gm14649,0,0,0,0,0,0,0,0
Gm14650,0,2,0,0,3,0,1,0
Gm14651,0,0,0,0,1,0,0,0
Gm14652,0,0,0,0,0,0,0,0
Gm14653,0,0,0,0,0,0,0,0
Gm14654,0,0,0,0,0,0,0,0
Gm14655,0,0,0,2,0,0,0,0
Gm14656,0,0,0,1,0,0,0,0
Gm14657,0,0,0,0,0,0,0,0
Gm14659,0,0,0,0,1,0,0,0
Gm14660,0,0,0,0,0,0,0,0
Gm14661,0,0,0,1,2,0,0,0
Gm14662,0,0,0,0,0,0,0,0
Gm14663,0,0,0,0,0,0,0,0
Gm14664,0,1,0,0,0,0,0,0
Gm14665,0,0,0,0,0,0,0,0
Gm14666,0,0,0,0,0,0,0,0
Gm14667,0,0,0,0,2,0,0,0
Gm14668,0,0,0,0,0,0,0,0
Gm14669,0,0,0,0,0,0,0,0
Gm14670,4,4,1,1,0,0,0,0
Gm14671,0,0,0,0,0,0,0,0
Gm14673,1,0,0,0,1,1,0,0
Gm14674,0,0,0,0,0,0,0,0
Gm14676,0,0,0,0,0,0,0,0
Gm14677,0,0,0,0,0,0,0,0
Gm14678,0,0,0,0,0,0,0,0
Gm14679,0,0,0,0,0,0,1,0
Gm14680,834,798,533,423,409,514,386,510
Gm14681,307,453,197,212,194,274,202,218
Gm14682,0,0,0,0,0,0,0,0
Gm14684,0,0,0,0,0,0,0,0
Gm14685,1,1,0,0,0,1,0,2
Gm14686,0,0,0,0,0,0,0,0
Gm14687,0,0,0,0,0,0,0,0
Gm14688,0,1,0,0,0,0,0,0
Gm14692,0,0,0,0,0,0,0,0
Gm14694,0,0,0,0,0,0,0,0
Gm14695,0,0,0,0,0,0,0,0
Gm14696,0,1,0,2,0,0,0,0
Gm14697,0,0,0,0,0,0,0,0
Gm14698,49,48,27,36,35,5,23,13
Gm14699,2,2,2,0,0,0,0,3
Gm14701,0,0,0,0,0,0,0,0
Gm14703,21,25,11,4,13,27,12,26
Gm14704,0,0,0,0,0,0,0,0
Gm14705,0,0,0,3,3,0,0,0
Gm14706,11,12,3,4,7,2,6,4
Gm14707,0,0,0,0,0,0,0,0
Gm14709,0,0,0,0,0,0,0,0
Gm14710,0,0,0,0,0,0,0,0
Gm14711,0,0,0,0,0,0,0,0
Gm14712,0,0,0,0,0,0,0,0
Gm14713,0,0,0,0,0,0,0,0
Gm14714,0,0,0,0,0,0,0,0
Gm14715,0,0,0,0,0,0,0,0
Gm14716,0,0,0,0,0,0,0,0
Gm14717,0,0,0,0,0,0,0,0
Gm14718,1,0,0,0,0,7,2,2
Gm14719,149,156,54,68,44,107,93,66
Gm14721,0,0,0,0,0,0,0,0
Gm14722,0,0,0,0,0,0,0,0
Gm14723,0,0,0,0,0,0,0,0
Gm14724,0,0,0,0,0,0,0,0
Gm14725,0,0,0,0,0,0,1,0
Gm14726,0,0,0,0,0,0,0,0
Gm14727,0,0,0,0,0,0,0,0
Gm14728,0,0,0,0,0,0,0,0
Gm14729,0,0,0,0,0,0,0,0
Gm14730,2,0,0,0,0,0,0,1
Gm14731,0,0,0,0,0,0,0,0
Gm14732,0,0,0,0,1,0,0,0
Gm14733,0,0,0,0,0,0,0,0
Gm14735,0,0,0,0,0,0,0,0
Gm14736,0,0,0,0,0,0,0,0
Gm14739,0,1,0,0,0,0,1,0
Gm14740,0,0,0,0,0,0,0,0
Gm14741,0,0,0,0,0,0,0,0
Gm14742,0,0,0,0,0,0,0,0
Gm14743,0,0,0,0,0,0,0,0
Gm14744,0,0,0,0,0,0,0,0
Gm14745,3,0,0,0,0,0,0,0
Gm14746,0,0,0,0,0,0,0,0
Gm14747,0,0,0,0,0,0,0,1
Gm14748,0,0,0,0,0,0,0,0
Gm14749,0,0,0,0,0,0,0,0
Gm14750,0,0,0,0,0,0,0,0
Gm14751,0,0,0,0,0,0,0,0
Gm14752,0,0,0,0,0,0,0,0
Gm14753,1,0,0,0,0,0,0,0
Gm14754,0,0,0,0,0,0,0,0
Gm14755,0,1,0,0,0,0,0,0
Gm14756,0,0,0,0,0,0,0,0
Gm14758,0,0,0,0,0,0,0,0
Gm14760,1,4,1,1,1,1,1,2
Gm14761,0,0,0,0,0,0,0,0
Gm14762,4,16,2,4,8,4,10,13
Gm14764,0,0,0,0,0,0,0,0
Gm14765,0,0,0,0,0,0,0,0
Gm14766,0,0,0,0,1,0,1,3
Gm14767,1,1,1,0,1,0,0,2
Gm14768,0,0,0,0,0,0,0,0
Gm14769,8,6,3,3,1,1,3,2
Gm14770,0,0,0,0,0,0,0,0
Gm14771,0,0,0,0,0,0,0,0
Gm14772,0,0,0,1,4,0,1,0
Gm14773,0,0,0,0,0,0,0,0
Gm14774,0,0,0,0,0,0,0,0
Gm14775,0,0,0,0,0,0,0,0
Gm14776,0,0,0,0,0,0,0,0
Gm14777,0,0,0,0,0,0,0,0
Gm14780,3,7,3,1,2,7,4,5
Gm14781,0,0,0,0,0,0,0,0
Gm14782,0,0,0,0,0,0,0,0
Gm14783,7,7,3,1,2,0,0,1
Gm14784,0,0,0,0,0,0,0,0
Gm14785,1,1,0,0,0,0,0,1
Gm14786,0,0,0,0,0,0,0,0
Gm14787,0,0,0,0,0,0,0,0
Gm14788,1,2,0,2,3,1,4,1
Gm14790,0,0,0,0,0,0,0,0
Gm14791,0,0,0,0,0,0,0,0
Gm14792,0,0,0,0,0,0,0,0
Gm14793,0,0,0,0,0,0,0,0
Gm14794,0,0,0,0,0,0,0,0
Gm14795,0,0,0,0,0,0,0,0
Gm14796,0,0,0,0,0,0,0,0
Gm14797,0,3,0,0,5,0,0,0
Gm14798,5,2,4,4,4,0,2,2
Gm14799,0,0,0,0,0,0,0,0
Gm14800,0,0,0,0,3,0,0,0
Gm14802,0,0,0,0,0,0,0,0
Gm14803,0,0,0,0,0,0,0,0
Gm14804,0,0,0,0,0,0,0,0
Gm14805,0,0,0,0,0,0,0,0
Gm14806,0,0,0,0,0,0,0,0
Gm14807,0,2,0,0,0,0,0,0
Gm14808,0,0,0,0,0,0,0,0
Gm14809,0,0,0,0,0,0,0,0
Gm14810,0,0,0,0,0,0,1,0
Gm14811,0,0,0,0,0,0,0,0
Gm14812,0,0,0,0,0,0,0,0
Gm14813,0,0,0,0,0,0,0,0
Gm14815,0,0,0,0,0,0,0,0
Gm14816,0,0,0,0,0,0,0,0
Gm14817,0,0,0,0,0,1,0,0
Gm14819,0,0,0,0,0,0,0,0
Gm14820,2,1,1,1,1,3,0,0
Gm14821,0,0,0,0,0,0,0,0
Gm14822,9,4,1,3,0,0,0,0
Gm14823,0,0,0,0,0,0,0,0
Gm14824,0,0,0,0,0,0,0,0
Gm14825,0,0,0,0,0,0,0,0
Gm14826,0,0,0,0,0,0,0,0
Gm14827,1,0,0,0,0,0,3,1
Gm14828,1,1,0,0,4,0,0,0
Gm14829,0,0,0,0,0,0,1,0
Gm14830,24,30,13,5,4,6,6,8
Gm14831,0,0,0,0,0,0,0,0
Gm14832,0,0,0,0,0,0,0,0
Gm14833,0,0,0,0,0,0,0,0
Gm14834,9,6,11,2,1,8,10,0
Gm14835,0,0,0,0,0,0,0,0
Gm14836,0,1,0,0,0,0,0,1
Gm14837,0,0,0,0,0,0,0,0
Gm14838,0,0,0,0,0,0,0,0
Gm14839,0,0,0,0,0,0,0,0
Gm14840,2,0,1,0,0,0,1,0
Gm14841,0,0,0,0,0,0,0,0
Gm14842,0,0,0,0,0,0,0,2
