,Liver_ILC1_1,Liver_ILC1_2,Liver_ILC1_3,Liver_NK_1,Liver_NK_2,Liver_NK_3
1700020N15Rik,0,0,0,0,0,0
1700020N18Rik,0,0,0,1,1,0
1700021A07Rik,17,25,14,1,1,3
1700021F05Rik,220,226,269,226,322,358
1700021F07Rik,0,0,0,0,0,0
1700021F13Rik,0,0,0,0,0,0
1700021J08Rik,24,34,33,34,34,32
1700021L23Rik,0,0,0,0,0,0
1700021N21Rik,0,0,0,0,0,0
1700021P04Rik,0,0,0,0,0,0
1700022A21Rik,0,0,0,0,0,0
1700022A22Rik,0,0,0,0,0,0
1700022E09Rik,0,0,0,0,0,0
1700022F17Rik,0,0,0,0,0,0
1700022H16Rik,0,0,0,0,0,0
1700022I11Rik,1,0,0,0,1,5
1700022N22Rik,5,3,2,4,7,3
1700023C21Rik,0,0,0,0,0,0
1700023F02Rik,0,0,0,0,0,0
1700023F06Rik,0,0,0,0,0,0
1700023G09Rik,0,0,0,0,0,0
1700023H06Rik,74,128,62,65,90,52
1700024B05Rik,0,0,0,0,0,0
1700024B18Rik,0,0,0,0,0,0
1700024G13Rik,0,0,0,0,0,0
1700024J04Rik,0,0,0,0,0,0
1700024P04Rik,0,0,0,0,0,0
1700024P16Rik,0,0,0,0,0,0
1700025A08Rik,0,0,0,0,1,0
1700025B11Rik,0,0,0,0,0,0
1700025C18Rik,0,0,0,0,0,0
1700025D23Rik,0,0,0,0,0,0
1700025F22Rik,0,0,0,0,0,0
1700025F24Rik,0,0,0,0,0,0
1700025G04Rik,726,738,618,4838,5398,5819
1700025H01Rik,0,0,0,0,0,0
1700025J12Rik,0,0,0,0,0,0
1700025K24Rik,0,0,0,0,0,0
1700025L06Rik,0,0,0,0,0,0
1700025M24Rik,0,0,0,0,0,0
1700025N21Rik,5,4,1,2,4,5
1700025N23Rik,0,0,0,0,0,0
1700025O08Rik,0,0,0,0,0,0
1700026D11Rik,16,27,13,24,14,17
1700026F02Rik,0,0,0,0,0,0
1700026J12Rik,0,0,0,0,0,0
1700026J14Rik,0,0,0,0,0,0
1700027A07Rik,3,1,0,1,0,1
1700027A15Rik,0,0,0,0,0,0
1700027F06Rik,0,0,0,0,0,0
1700027F09Rik,0,1,1,3,5,1
1700027H10Rik,0,0,0,0,0,0
1700027I24Rik,0,0,0,0,0,0
1700027J19Rik,0,0,0,0,0,0
1700028B04Rik,0,1,0,0,0,0
1700028D13Rik,0,0,0,0,0,0
1700028E10Rik,227,261,220,217,284,268
1700028I16Rik,0,0,0,0,0,0
1700028J19Rik,14,16,8,25,30,20
1700028K03Rik,1,0,4,4,24,0
1700028M03Rik,0,0,0,0,0,0
1700028N14Rik,24,28,21,26,39,42
1700028P14Rik,0,0,0,0,0,0
1700028P15Rik,0,0,0,0,0,0
1700029B22Rik,0,0,0,0,0,0
1700029B24Rik,0,0,0,0,0,0
1700029E06Rik,0,0,0,0,0,0
1700029F12Rik,0,1,0,0,0,0
1700029H14Rik,0,0,0,1,4,1
1700029I15Rik,50,48,53,55,54,75
1700029J03Rik,0,0,0,1,1,0
1700029J07Rik,55,55,51,51,52,70
1700029M03Rik,2,1,0,0,2,5
1700029M20Rik,0,0,3,0,9,6
1700029N11Rik,1,0,0,0,0,0
1700029P11Rik,1,0,0,0,0,0
1700030A11Rik,0,0,0,0,0,0
1700030C10Rik,131,171,117,70,86,27
1700030C12Rik,2,0,0,0,2,1
1700030C14Rik,0,0,0,0,0,0
1700030F04Rik,0,0,0,0,0,0
1700030I03Rik,0,0,0,0,0,0
1700030J22Rik,21,8,15,6,9,4
1700030K09Rik,251,160,244,212,270,351
1700030L20Rik,0,0,0,0,0,0
1700030M09Rik,0,0,0,0,0,0
1700030N03Rik,0,0,0,0,0,0
1700030N18Rik,0,0,0,0,0,0
1700030O20Rik,0,0,0,0,0,0
1700031A10Rik,0,0,0,0,0,0
1700031F05Rik,0,0,0,0,0,0
1700031F10Rik,0,0,0,0,0,0
1700031L13Rik,0,0,0,0,0,0
1700031M16Rik,0,0,0,0,0,0
1700031P21Rik,0,0,0,0,0,0
1700034B16Rik,0,0,0,0,0,0
1700034E13Rik,0,0,0,0,0,0
1700034G24Rik,0,0,0,0,0,0
1700034H15Rik,3,9,8,0,2,7
1700034I23Rik,7,4,0,6,4,1
1700034J04Rik,0,0,0,0,0,0
1700034J05Rik,0,3,0,0,4,2
1700034K08Rik,0,0,0,0,0,0
1700034O15Rik,0,0,0,0,0,0
1700034P13Rik,0,1,4,3,3,1
1700036A12Rik,0,0,0,0,0,0
1700036G14Rik,0,0,0,0,0,0
1700036O09Rik,0,0,0,0,0,0
1700037C06Rik,0,0,0,0,0,0
1700037C18Rik,175,196,162,143,195,174
1700037F24Rik,0,0,0,0,0,0
1700037H04Rik,1085,1271,1219,1059,1076,1174
1700039E22Rik,0,0,0,0,0,0
1700039I01Rik,0,0,0,0,0,0
1700039M10Rik,0,0,0,2,1,0
1700039M15Rik,0,0,0,0,0,0
1700040D17Rik,5,14,3,10,10,14
1700040F15Rik,0,0,0,0,0,0
1700040F17Rik,0,0,0,0,0,0
1700040K01Rik,0,0,0,0,0,0
1700040L02Rik,0,2,0,90,118,123
1700040L08Rik,1,1,0,0,0,0
1700041C23Rik,0,0,0,0,0,0
1700041G16Rik,22,48,25,21,27,23
1700041M05Rik,0,0,0,0,0,0
1700041M19Rik,0,0,0,0,0,0
1700042D02Rik,0,0,0,0,0,0
1700042G07Rik,0,0,0,0,0,0
1700042G15Rik,0,0,0,0,0,0
1700042O10Rik,9,9,6,3,8,16
1700044C05Rik,0,0,0,0,0,0
1700044K03Rik,0,0,0,0,0,0
1700045H11Rik,0,0,0,0,0,0
1700045I11Rik,0,0,0,0,0,0
1700046C09Rik,0,0,0,0,0,0
1700047A11Rik,0,0,0,0,0,0
1700047F07Rik,0,0,0,0,0,0
1700047G03Rik,1,0,1,0,1,0
1700047G07Rik,0,0,0,0,0,0
1700047I17Rik2,62,7,2,16,20,20
1700047K16Rik,8,15,14,5,10,11
1700047L14Rik,0,0,0,0,0,0
1700047M11Rik,0,1,4,0,0,2
1700047N06Rik,0,0,2,0,0,1
1700047O18Rik,0,0,0,0,0,0
1700048F04Rik,0,0,0,0,0,0
1700048M11Rik,1,1,3,3,4,1
1700048O20Rik,43,35,18,34,35,33
1700049E15Rik,0,0,0,0,0,0
1700049E17Rik1,0,0,0,0,0,0
1700049E17Rik2,0,0,0,0,0,0
1700049E22Rik,0,0,0,0,0,0
1700049J03Rik,0,0,0,0,0,0
1700049L16Rik,0,0,0,0,0,0
1700051A21Rik,0,0,0,0,0,0
1700051K13Rik,0,0,0,0,0,1
1700051O22Rik,1,3,0,6,0,2
1700052I22Rik,0,0,0,0,0,0
1700052K11Rik,330,337,291,225,221,233
1700054A03Rik,0,0,0,0,0,0
1700054K02Rik,0,0,0,0,0,0
1700054K19Rik,0,0,0,0,0,0
1700054M17Rik,0,0,0,0,0,0
1700054O19Rik,0,1,0,0,0,0
1700055C04Rik,0,0,0,0,0,0
1700055D18Rik,26,33,26,16,15,30
1700056E22Rik,81,82,89,68,91,94
1700056N10Rik,48,47,36,26,70,52
1700057G04Rik,0,0,0,0,0,1
1700057H15Rik,0,0,0,0,0,0
1700057H21Rik,0,0,0,0,0,0
1700058P15Rik,6,10,6,3,13,8
1700060C16Rik,0,0,0,0,0,0
1700060C20Rik,0,0,0,0,0,0
1700060J05Rik,0,2,0,0,0,0
1700060O08Rik,0,0,0,0,0,0
1700061E17Rik,0,0,0,0,0,0
1700061E18Rik,0,0,0,0,0,0
1700061F12Rik,0,0,0,0,0,0
1700061G19Rik,3,0,0,1,0,3
1700061H18Rik,0,0,0,0,0,0
1700061I17Rik,0,0,0,0,0,0
1700061J23Rik,0,0,0,0,0,0
1700063A18Rik,0,0,0,0,0,0
1700063D05Rik,0,0,0,0,0,0
1700063H04Rik,0,0,0,0,0,0
1700063H06Rik,0,0,0,0,0,0
1700063I16Rik,0,0,0,0,0,0
1700063K16Rik,0,0,0,0,0,0
1700063O14Rik,0,0,0,0,0,0
1700064H15Rik,0,0,0,0,1,0
1700064J06Rik,0,0,0,0,0,0
1700064M15Rik,1,0,0,0,0,0
1700065D16Rik,22,13,15,10,37,11
1700065I16Rik,0,0,0,0,0,0
1700065J11Rik,0,0,0,0,0,0
1700065J18Rik,0,0,0,0,0,0
1700065L07Rik,0,0,0,0,0,0
1700065O20Rik,0,0,0,0,0,0
1700066B17Rik,0,0,0,0,0,1
1700066B19Rik,7,17,13,34,38,20
1700066C05Rik,0,0,0,0,0,0
1700066J03Rik,0,0,0,0,0,0
1700066M21Rik,542,521,533,342,452,415
1700066N21Rik,0,0,0,0,0,0
1700066O22Rik,0,0,0,0,0,0
1700067G17Rik,0,0,0,0,0,0
1700067K01Rik,7,8,7,3,8,4
1700067P10Rik,0,0,0,0,0,0
1700069B07Rik,2,3,2,4,4,3
1700069L16Rik,0,0,0,0,0,0
1700069P05Rik,0,0,0,0,0,0
1700071G01Rik,0,0,0,0,0,0
1700071K01Rik,0,0,0,0,0,0
1700071M16Rik,2,0,0,0,0,0
1700072B07Rik,0,0,0,0,0,0
1700072G22Rik,0,0,0,0,0,0
1700072O05Rik,0,0,0,0,0,0
1700073E17Rik,0,0,0,0,0,0
1700074A21Rik,0,0,0,0,0,0
1700074H08Rik,0,0,0,0,0,0
1700074P13Rik,0,0,0,0,0,0
1700080E11Rik,0,0,0,0,0,0
1700080G11Rik,1,0,0,0,1,0
1700080N15Rik,0,0,0,0,0,0
1700080O16Rik,0,0,0,0,0,0
1700081H04Rik,0,0,0,0,0,0
1700082M22Rik,2,1,0,1,0,0
1700083H02Rik,0,0,0,0,0,0
1700084C06Rik,0,0,1,2,0,2
1700084E18Rik,15,14,3,14,14,13
1700084F23Rik,0,0,0,0,0,0
1700084J12Rik,0,2,3,1,0,2
1700084M14Rik,0,0,0,0,0,0
1700085C21Rik,0,0,0,0,0,0
1700086D15Rik,0,0,0,0,0,0
1700086L19Rik,0,0,0,0,0,0
1700086O06Rik,11,8,10,8,14,10
1700086P04Rik,2,0,0,0,0,0
1700087M22Rik,0,0,0,0,0,0
1700088E04Rik,15,18,13,18,27,26
1700091H14Rik,0,0,0,0,0,0
1700092C02Rik,0,0,0,0,0,0
1700092C10Rik,0,0,0,0,0,0
1700092C17Rik,0,0,0,1,0,0
1700092E19Rik,0,0,0,0,0,0
1700092K14Rik,0,0,0,0,0,0
1700092M07Rik,3,8,6,3,3,2
1700093J21Rik,0,0,0,0,0,0
1700093K21Rik,0,0,0,0,0,0
1700094J05Rik,0,0,0,0,0,0
1700094M24Rik,0,0,0,0,0,0
1700095A13Rik,0,0,0,0,0,0
1700095A21Rik,0,0,0,0,0,0
1700095B10Rik,0,0,0,0,0,0
1700095J03Rik,0,1,0,0,0,0
1700095J07Rik,0,0,0,0,0,0
1700095J12Rik,0,1,0,2,2,0
1700095K22Rik,0,0,0,0,0,0
1700096J18Rik,0,0,0,0,0,0
1700096K18Rik,172,130,136,283,283,264
1700097M23Rik,0,0,0,0,0,0
1700097N02Rik,3,1,3,20,20,18
1700099I09Rik,0,0,0,0,0,0
1700100L14Rik,0,0,0,0,0,0
1700101I11Rik,7,1,0,1,15,7
1700101I19Rik,0,0,0,0,0,0
1700101O22Rik,0,0,0,0,0,0
1700102F20Rik,0,0,0,0,0,0
1700102P08Rik,17,23,22,25,35,30
1700104B16Rik,0,0,0,1,0,0
1700105P06Rik,4,6,0,0,0,3
1700108F19Rik,0,0,0,0,0,0
1700108J01Rik,0,0,0,0,0,0
1700108N11Rik,0,0,0,0,0,0
1700109G14Rik,0,4,0,0,0,0
1700109G15Rik,0,0,0,0,0,0
1700109H08Rik,125,118,144,82,162,105
1700109I08Rik,0,0,0,0,0,0
1700109K24Rik,0,0,0,0,0,0
1700110C19Rik,0,0,0,0,5,0
1700110I01Rik,0,0,0,0,0,0
1700110I07Rik,1,0,0,1,3,0
1700110K17Rik,2,1,0,0,6,2
1700111E14Rik,0,0,0,0,0,0
1700111N16Rik,0,0,0,0,0,0
1700112D23Rik,0,1,1,0,0,1
1700112E06Rik,96,102,93,127,130,121
1700112H15Rik,0,0,0,0,0,0
1700112J05Rik,0,0,0,0,0,0
1700112J16Rik,2,0,2,0,0,0
1700112K13Rik,0,0,0,0,0,0
1700112L15Rik,0,0,0,0,0,0
1700113A16Rik,30,28,31,24,15,14
1700113B19Rik,0,0,0,0,0,0
1700113H08Rik,0,0,0,0,0,0
1700116B05Rik,0,0,0,0,0,0
1700119H24Rik,0,0,0,0,0,0
1700119I11Rik,0,0,0,0,0,0
1700120B22Rik,0,0,0,0,0,2
1700120C14Rik,27,44,18,28,28,35
1700120C18Rik,0,0,0,0,0,0
1700120E14Rik,0,0,0,0,0,0
1700120G07Rik,0,0,0,0,0,0
1700120G11Rik,0,0,0,0,0,0
1700120K04Rik,0,0,0,0,0,0
1700120O09Rik,0,0,0,0,0,0
1700121C08Rik,0,0,0,0,0,0
1700121L03Rik,0,0,0,0,0,0
1700121L16Rik,0,0,0,0,0,0
1700121N20Rik,0,0,0,0,0,0
1700122D07Rik,0,0,0,0,0,0
1700122E12Rik,0,1,0,0,2,0
1700122O11Rik,0,0,0,0,0,0
1700123K08Rik,0,1,0,0,0,0
1700123L14Rik,0,0,0,0,0,0
1700123M08Rik,10,10,6,16,14,7
1700123O12Rik,0,0,0,0,0,0
1700123O20Rik,1446,1645,1815,1543,1666,1902
1700123O21Rik,0,0,0,0,0,0
1700124L16Rik,4,5,10,5,1,10
1700125G02Rik,0,0,0,0,0,0
1700125G22Rik,0,0,0,0,0,0
1700125H03Rik,0,0,0,0,0,0
1700125H20Rik,0,0,0,0,0,0
1700126A01Rik,0,0,0,0,0,0
1700126G02Rik,1,3,5,1,3,0
1700126H18Rik,0,0,0,0,0,0
1700128A07Rik,0,0,0,0,0,0
1700128E19Rik,0,0,0,0,0,0
1700128F08Rik,0,0,0,0,0,0
1700129C05Rik,0,0,0,0,0,0
1700129L04Rik,0,0,0,0,0,0
1810006J02Rik,580,646,642,328,433,414
1810007C17Rik,0,0,0,0,0,0
1810007D17Rik,0,0,0,0,0,0
1810008B01Rik,1,3,0,1,6,1
1810008I18Rik,0,0,0,0,0,0
1810009A15Rik,36,26,40,37,38,49
1810009J06Rik,0,0,0,0,0,0
1810010D01Rik,11,7,4,2,0,4
1810010H24Rik,14,12,6,7,14,4
1810010K12Rik,0,0,0,0,0,0
1810011H11Rik,2763,3559,2830,0,1,0
1810011O10Rik,4,0,2,0,0,0
1810012K08Rik,3,1,0,0,2,0
1810012K16Rik,4,0,1,1,2,1
1810013D15Rik,0,0,0,0,0,0
1810013L24Rik,2689,2418,2290,1594,2088,1958
1810014B01Rik,158,175,149,159,167,161
1810017P11Rik,0,0,0,0,0,0
1810018F18Rik,1,0,0,0,0,0
1810019D21Rik,0,0,0,1,0,0
1810019N24Rik,7,0,7,1,0,7
1810020O05Rik,0,0,0,0,0,0
1810021B22Rik,3,1,0,4,1,8
1810022K09Rik,892,1069,821,1084,1348,1319
1810024B03Rik,24,25,28,24,35,43
1810026B05Rik,4608,4852,4797,3299,4006,4167
1810030O07Rik,3692,3658,3812,3110,3578,3658
1810032O08Rik,169,185,173,150,160,208
1810034E14Rik,149,163,112,525,526,650
1810037I17Rik,1062,1221,1069,1403,1738,1543
1810041H14Rik,163,193,133,132,130,121
1810041L15Rik,0,0,0,0,0,0
1810043G02Rik,293,336,296,226,180,258
1810044D09Rik,13,24,14,16,11,7
1810046K07Rik,0,0,0,0,0,0
1810049J17Rik,3,3,0,4,4,4
1810053B23Rik,0,0,0,0,2,0
1810055G02Rik,105,147,131,5,1,6
1810058I24Rik,1110,1223,1124,1618,1922,1987
1810059C17Rik,0,0,0,0,1,0
1810059H22Rik,0,0,0,0,0,0
1810062G17Rik,11,6,7,4,1,2
1810062O18Rik,15,33,21,37,57,48
1810063I02Rik,0,0,0,0,0,0
1810064F22Rik,0,0,0,0,0,0
1810065E05Rik,0,0,0,0,0,0
2010001A14Rik,23,25,23,48,46,57
2010001K21Rik,3,5,3,1,1,0
2010003K11Rik,0,0,0,0,0,0
2010005H15Rik,1,4,0,0,0,0
2010007H06Rik,0,0,0,0,0,0
2010008C14Rik,282,303,271,108,111,109
2010009K17Rik,1,4,0,1,2,0
2010010A06Rik,0,1,0,0,0,1
2010013B24Rik,5,2,1,3,1,2
2010015M23Rik,15,29,27,28,37,31
2010016I18Rik,344,302,313,390,569,430
2010103J01Rik,0,2,0,0,0,2
2010106C02Rik,0,0,0,0,0,0
2010106E10Rik,0,0,0,0,0,0
2010107E04Rik,535,718,474,823,958,939
2010107G23Rik,340,367,362,20,18,11
2010109A12Rik,18,30,17,12,27,23
2010109I03Rik,42,61,35,11,13,6
2010109P13Rik,0,0,0,0,0,0
2010110E17Rik,0,2,0,3,1,1
2010110G14Rik,0,0,0,0,0,0
2010110K18Rik,6,10,6,5,0,2
2010111I01Rik,1102,1022,1065,608,837,666
